aun,school_name,school_number,high_school,middle_school,elementary_school
115221402,Paxtonia El Sch,1778,0,0,1
115221402,Phillips El Sch,1779,0,0,1
115221402,Rutherford El Sch,1811,0,0,1
115221402,South Side El Sch,1780,0,0,1
115221402,Swatara MS,1742,0,1,0
115221402,Tri-Community El Sch,5320,0,0,1
115221402,West Hanover El Sch,1817,0,0,1
111291304,McConnellsburg El Sch,2248,0,0,1
111291304,McConnellsburg HS,6252,1,0,0
111291304,McConnellsburg MS,7734,0,1,0
101301403,Miller MS,6010,0,1,0
101301403,Waynesburg Central El School,7476,0,0,1
101301403,Waynesburg Central HS,5118,1,0,0
110000000,Central IU 10,0,0,0,1
123460957,Central Montco Technical High School,4967,0,0,1
108070001,Central PA Digital Lrng Foundation CS,7720,1,0,0
110141607,Central PA Institute of Science & Techno,5094,0,0,1
116000000,Central Susquehanna IU 16,0,0,0,1
127042003,Center Grange Primary School,8045,1,0,0
127042003,Central Valley HS,8044,1,0,0
127042003,Central Valley MS,8043,0,1,0
127042003,Todd Lane El Sch,8046,0,0,1
107651207,Central Westmoreland CTC,6172,0,0,1
112671303,Central York HS,4545,1,0,0
112671303,Central York MS,4544,0,1,0
112671303,Hayshire El Sch,4537,0,0,1
112671303,North Hills El Sch,4540,0,0,1
112671303,Roundtown El Sch,4539,0,0,1
112671303,Sinking Springs El Sch,7696,0,0,1
112671303,Stony Brook El Sch,5088,0,0,1
110143060,Centre Learning Community CS,7552,1,0,0
112281302,Benjamin Chambers El Sch,8047,0,0,1
112281302,Buchanan El Sch,2192,0,0,1
112281302,Chambersburg Area Career Magnet Sch,8244,0,0,1
112281302,Chambersburg Area MS - North,2190,0,1,0
112281302,Chambersburg Area MS - South,6615,0,1,0
112281302,Chambersburg Area SHS,2191,1,0,0
112281302,Falling Spring El Sch,4825,0,0,1
112281302,Fayetteville El Sch,6273,0,0,1
112281302,Grandview El Sch,2208,0,0,1
112281302,Guilford Hills El Sch,2215,0,0,1
112281302,Hamilton Heights El Sch,6274,0,0,1
112281302,Lurgan El Sch,2225,0,0,1
112281302,Marion El Sch,8375,0,0,1
112281302,New Franklin El Sch,8324,0,0,1
112281302,Scotland El Sch,2209,0,0,1
112281302,South Hamilton El Sch,2216,0,0,1
112281302,Stevens El Sch,2196,0,0,1
101631803,Charleroi Area El Ctr,7258,0,0,1
101631803,Charleroi Area HS,4715,1,0,0
101631803,Charleroi Area MS,7157,0,1,0
103021752,Chartiers Valley HS,6706,1,0,0
103021752,Chartiers Valley Intrmd School,7415,0,0,1
103021752,Chartiers Valley MS,94,0,1,0
103021752,Chartiers Valley Primary Sch,7445,0,0,1
101631903,Allison Park El Sch,4234,0,0,1
101631903,Chartiers-Houston JSHS,4235,1,0,0
123461302,Cedarbrook MS,5250,0,1,0
123461302,Cheltenham El Sch,3250,0,0,1
123461302,Cheltenham HS,3260,1,0,0
123461302,Elkins Park Sch,3257,0,0,1
123461302,Glenside El Sch,3256,0,0,1
123461302,Myers El Sch,3252,0,0,1
123461302,Wyncote El Sch,3255,0,0,1
125236827,Chester Charter Scholars Academy CS,8258,1,0,0
124152880,Chester Co Family Academy CS,7514,1,0,0
125232950,Chester Community CS,7539,1,0,0
124000000,Chester County IU 24,0,0,0,1
124151607,Chester Co Technical College HS-Brandywi,7292,1,0,0
124151607,Chester Co Technical College HS-Pennocks,7860,1,0,0
124151607,Chester Co Technical College HS-Pickerin,7293,1,0,0
125231232,Chester HS,6492,1,0,0
125231232,Chester Upland Sch of Arts,8020,0,0,1
125231232,Edgmont Scholars Academy,8506,0,0,1
125231232,Main Street Sch,1958,0,0,1
125231232,STEM at Showalter,8303,0,0,1
125231232,Stetser El Sch,1829,0,0,1
125231232,Toby Farms Intermediate School,8302,0,0,1
108051503,Chestnut Ridge Central El Sch,730,0,0,1
108051503,Chestnut Ridge MS,729,0,1,0
108051503,Chestnut Ridge SHS,732,1,0,0
125231303,Boothwyn El Sch,1843,0,0,1
125231303,Chichester MS,7276,0,1,0
125231303,Chichester SHS,1849,1,0,0
125231303,Hilltop El Sch,5322,0,0,1
125231303,Linwood El Sch,1847,0,0,1
125231303,Marcus Hook El Sch,1893,0,0,1
126513160,Christopher Columbus CS,7575,1,0,0
121394017,Circle of Seasons CS,8262,1,0,0
102020001,City CHS,7727,1,0,0
103021903,Clairton El Sch,7371,0,0,1
103021903,Clairton MS/HS,8094,1,1,0
106161203,Clarion Area El Sch,5217,0,0,1
106161203,Clarion Area JSHS,1475,1,0,0
106161357,Clarion County Career Center,6909,1,0,0
106161703,Clarion-Limestone Area JSHS,1480,1,0,0
106161703,Clarion-Limestone El Sch,1479,0,0,1
108071504,Claysburg-Kimmel El Sch,7374,0,0,1
108071504,Claysburg-Kimmel Jr HS,8498,1,0,0
108071504,Claysburg-Kimmel Sr HS,921,1,0,0
110171003,Clearfield Area El Sch,8315,0,0,1
110171003,Clearfield Area JSHS,6236,1,0,0
110171607,Clearfield County CTC,5276,0,0,1
124151902,Caln El Sch,1376,0,0,1
124151902,Coatesville Area SHS,5012,1,0,0
124151902,Coatesville Intermediate HS,8416,1,0,0
124151902,East Fallowfield El Sch,1374,0,0,1
124151902,Kings Highway El Sch,1375,0,0,1
124151902,North Brandywine MS,8467,0,1,0
124151902,Rainbow El Sch,1370,0,0,1
124151902,Reeceville El Sch,7334,0,0,1
124151902,Scott MS,7767,0,1,0
113361303,Adamstown El Sch,2510,0,0,1
113361303,Cocalico MS,6289,0,1,0
113361303,Cocalico SHS,6290,1,0,0
113361303,Denver El Sch,2506,0,0,1
113361303,Reamstown El Sch,5053,0,0,1
124153320,Collegium CS,7628,1,0,0
120000000,Colonial IU 20,0,0,0,1
123461602,Colonial El Sch,7143,0,0,1
123461602,Colonial MS,5077,0,1,0
123461602,Conshohocken El Sch,3261,0,0,1
123461602,Plymouth El Sch,4711,0,0,1
123461602,Plymouth-Whitemarsh SHS,3333,1,0,0
123461602,Ridge Park El Sch,3332,0,0,1
123461602,Whitemarsh El Sch,3411,0,0,1
113361503,Columbia HS,2515,1,0,0
113361503,Columbia MS Hill Campus,8502,0,1,0
113361503,Columbia MS Taylor Campus,8501,0,1,0
113361503,Park El Sch,7056,0,0,1
116191757,Columbia-Montour AVTS,5178,0,0,1
104431304,Commodore Perry JSHS,6122,1,0,0
104431304,Commodore Perry Sch,7450,0,0,1
115220002,Commonwealth Charter Academy CS,7774,1,0,0
126512840,Community Academy of Philadelphia CS,7510,1,0,0
108561803,Conemaugh Twp Area El Sch,3977,0,0,1
108561803,Conemaugh Twp Area MS/SHS,3978,1,1,0
108111403,Conemaugh Valley El Sch,5213,0,0,1
108111403,Conemaugh Valley JSHS,5136,1,0,0
113361703,Brownstown El Sch,2517,0,0,1
113361703,Conestoga Valley SHS,2532,1,0,0
113361703,Fritz El Sch,5113,0,0,1
113361703,Gerald G Huesken MS,2531,0,1,0
113361703,Leola El Sch,2522,0,0,1
113361703,Smoketown El Sch,2521,0,0,1
112011603,Conewago Twp El Sch,6268,0,0,1
112011603,Conewago Valley Intrmd Sch,7822,0,0,1
112011603,New Oxford El Sch,6267,0,0,1
112011603,New Oxford MS,6898,0,1,0
112011603,New Oxford SHS,17,1,0,0
105201033,Conneaut Area Senior High,8224,0,0,1
105201033,Conneaut Lake MS,8225,0,1,0
105201033,Conneaut Lake-Sadsbury El Sch,6132,0,0,1
105201033,Conneaut Valley El Sch,6133,0,0,1
105201033,Conneaut Valley MS,8226,0,1,0
101266007,Connellsville Area Career & Technical Ce,6643,0,0,1
101261302,Bullskin El Sch,2097,0,0,1
101261302,Connellsville Area MS,2105,0,1,0
101261302,Connellsville Area SHS,5228,1,0,0
101261302,Dunbar Twp El Sch,5048,0,0,1
101261302,Springfield El Sch,2172,0,0,1
101261302,West Crawford El Sch,4939,0,0,1
114061103,Conrad Weiser East El Sch,7284,0,0,1
114061103,Conrad Weiser HS,777,1,0,0
114061103,Conrad Weiser MS,7651,0,1,0
114061103,Conrad Weiser West El Sch,5203,0,0,1
103022103,Cornell El Sch,6944,0,0,1
103022103,Cornell HS,8087,1,0,0
113381303,Cedar Crest HS,4800,1,0,0
113381303,Cedar Crest MS,6301,0,1,0
113381303,Cornwall El Sch,6302,0,0,1
113381303,Ebenezer El Sch,2728,0,0,1
113381303,South Lebanon El Sch,2729,0,0,1
113381303,Union Canal El Sch,7300,0,0,1
105251453,Corry Area HS,1998,1,0,0
105251453,Corry Area Intrmd Sch,1997,0,0,1
105251453,Corry Area MS,7793,0,1,0
105251453,Corry Area Primary Sch,8311,0,0,1
109531304,Coudersport Area El Sch,3868,0,0,1
109531304,Coudersport Area JSHS,3869,1,0,0
122092353,Churchville El Sch,1088,0,0,1
122092353,Council Rock HS North,5096,1,0,0
122092353,Council Rock HS South,7749,1,0,0
122092353,Goodnoe El Sch,1086,0,0,1
122092353,Hillcrest El Sch,7208,0,0,1
122092353,Holland El Sch,4680,0,0,1
